Average gammas,,
Gas,Mean ,Uncertainty
0,1.33,0.05
2,1.33,0.05
1,1.31,0.05
3,1.39,0.04
0,1.6,0.01
2,1.35,0.05
1,1.28,0.009
3,1.43,0.003
0,1.2,0.2
2,1.071,0.003
1,1.093,0.009
3,1.18,0.04
0,3,1
2,1.2,0.01
1,1.2,0.02
3,1.31,0.02
0,1.4,1
2,1.05,0.09
1,1.23,0.003
3,1.355,0.003
0,1.5345,0.0363
2,1.3333,0.0136
1,1.2582,0.0099
3,1.3557,0.0172
0,1.7579,0.233
2,1.5107,0.361
1,1.605,0.459
3,2.199,0.58
0,1.593,0.011
2,1.034,0.193
1,1.287,0.053
3,1.061,0.17
0,1.0525,1.9466
2,1.3462,0.0156
1,1.2446,0.0096
3,1.3389,0.0795
0,1.4662,0.0998
2,1.326,0.0064
1,1.232,0.0088
3,1.3062,0.0644
0,1.5376,0.009
2,1.3309,0.0125
1,1.2858,0.0421
3,1.2899,0.044
0,1.4289,0.0621
2,0.9615,0.1079
1,1.284,0.0187
3,1.3076,0.0159
0,1.4295,0.0624
2,0.9678,0.0993
1,1.2807,0.0133
3,1.425,0.2965
