Run #1,Run #1,Run #2,Run #2,Run #3,Run #3,Run #4,Run #4,Run #5,Run #5,Run #6,Run #6,Run #7,Run #7,Run #8,Run #8,Run #9,Run #9,Run #10,Run #10
Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m)
0,0.6601,0,0.6708,0,0.6661,0,0.6983,0,0.7102,0,0.7169,0,0.6924,0,0.7129,0,0.7008,0,0.7143
0.01,0.6601,0.01,0.6708,0.01,0.6661,0.01,0.6983,0.01,0.7102,0.01,0.7169,0.01,0.6924,0.01,0.7129,0.01,0.7008,0.01,0.7143
0.02,0.6601,0.02,0.6708,0.02,0.6661,0.02,0.6983,0.02,0.7102,0.02,0.7169,0.02,0.6924,0.02,0.7129,0.02,0.7008,0.02,0.7143
0.03,0.6601,0.03,0.6708,0.03,0.6661,0.03,0.6983,0.03,0.7102,0.03,0.7169,0.03,0.6924,0.03,0.7129,0.03,0.7008,0.03,0.7143
0.04,0.6601,0.04,0.6708,0.04,0.6661,0.04,0.6983,0.04,0.7102,0.04,0.7169,0.04,0.6924,0.04,0.7129,0.04,0.7008,0.04,0.7143
0.05,0.6601,0.05,0.6708,0.05,0.6661,0.05,0.6983,0.05,0.7102,0.05,0.7169,0.05,0.6924,0.05,0.7129,0.05,0.7008,0.05,0.7143
0.06,0.6601,0.06,0.6708,0.06,0.6661,0.06,0.6983,0.06,0.7102,0.06,0.7169,0.06,0.6924,0.06,0.7129,0.06,0.7008,0.06,0.7143
0.07,0.6601,0.07,0.6708,0.07,0.6661,0.07,0.6983,0.07,0.7102,0.07,0.7169,0.07,0.6924,0.07,0.7129,0.07,0.7008,0.07,0.7143
0.08,0.6601,0.08,0.6708,0.08,0.6661,0.08,0.6983,0.08,0.7102,0.08,0.7169,0.08,0.6924,0.08,0.7129,0.08,0.7008,0.08,0.7143
0.09,0.6601,0.09,0.6708,0.09,0.6661,0.09,0.6983,0.09,0.7102,0.09,0.7169,0.09,0.6924,0.09,0.7129,0.09,0.7008,0.09,0.7143
0.1,0.6601,0.1,0.6708,0.1,0.6661,0.1,0.6983,0.1,0.7102,0.1,0.7169,0.1,0.6924,0.1,0.7129,0.1,0.7008,0.1,0.7143
0.11,0.6601,0.11,0.6708,0.11,0.6661,0.11,0.6983,0.11,0.7102,0.11,0.7169,0.11,0.6924,0.11,0.7129,0.11,0.7008,0.11,0.7143
0.12,0.6601,0.12,0.6708,0.12,0.6661,0.12,0.6983,0.12,0.7102,0.12,0.7169,0.12,0.6924,0.12,0.7129,0.12,0.7008,0.12,0.7143
0.13,0.6601,0.13,0.6708,0.13,0.6661,0.13,0.6983,0.13,0.7102,0.13,0.7169,0.13,0.6924,0.13,0.7129,0.13,0.7008,0.13,0.7143
