"Wavelength (nm) Set","Frequency (Hz) Set","Date and Time Run #1","Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","Stopping Potential (V) Run #1"
365,8.21E+14,01/27/2022 04:02:07 pm,93.700,4.815E-10,29.991,-29.99
405,7.40E+14,01/27/2022 04:02:15 pm,101.950,4.702E-10,28.002,-28.00
436,6.88E+14,01/27/2022 04:02:25 pm,111.850,4.625E-10,26.006,-26.01
546,5.49E+14,01/27/2022 04:02:35 pm,121.200,4.511E-10,24.009,-24.01
577,5.20E+14,01/27/2022 04:02:46 pm,132.050,4.345E-10,22.003,-22.00
,,01/27/2022 04:02:55 pm,141.350,4.263E-10,20.002,-20.00
,,01/27/2022 04:03:08 pm,154.200,4.118E-10,18.014,-18.01
,,01/27/2022 04:03:15 pm,161.400,4.021E-10,15.999,-16.00
,,01/27/2022 04:03:23 pm,169.900,3.834E-10,14.011,-14.01
,,01/27/2022 04:03:31 pm,177.100,3.610E-10,12.006,-12.01
,,01/27/2022 04:03:40 pm,186.250,3.222E-10,10.002,-10.00
,,01/27/2022 04:03:48 pm,194.700,2.749E-10,8.013,-8.01
,,01/27/2022 04:03:57 pm,203.050,2.098E-10,6.007,-6.01
,,01/27/2022 04:04:05 pm,211.700,1.590E-10,4.009,-4.01
,,01/27/2022 04:04:10 pm,216.650,8.803E-11,2.003,-2.00
,,01/27/2022 04:04:19 pm,225.300,2.313E-11,0.019,-0.02
,,01/27/2022 04:04:27 pm,233.150,1.980E-11,-0.101,0.10
,,01/27/2022 04:04:31 pm,237.450,1.715E-11,-0.201,0.20
,,01/27/2022 04:04:33 pm,239.800,1.441E-11,-0.305,0.31
,,01/27/2022 04:04:37 pm,243.700,1.189E-11,-0.399,0.40
,,01/27/2022 04:04:41 pm,247.450,9.523E-12,-0.502,0.50
,,01/27/2022 04:04:46 pm,252.050,7.152E-12,-0.600,0.60
,,01/27/2022 04:04:50 pm,256.850,4.789E-12,-0.709,0.71
,,01/27/2022 04:04:58 pm,264.000,2.838E-12,-0.797,0.80
,,01/27/2022 04:05:01 pm,267.400,1.675E-12,-0.908,0.91
,,01/27/2022 04:05:07 pm,273.100,6.886E-13,-1.000,1.00
,,01/27/2022 04:05:12 pm,278.700,1.066E-13,-1.101,1.10
,,01/27/2022 04:05:17 pm,283.850,-1.656E-13,-1.208,1.21
