"Wavelength (nm) Set","Frequency (Hz) Set","Date and Time Run #1","Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","Stopping Potential (V) Run #1"
365,8.21E+14,01/27/2022 04:08:45 pm,51.400,1.834E-11,9.996,-10.00
405,7.40E+14,01/27/2022 04:09:25 pm,91.350,1.578E-11,7.999,-8.00
436,6.88E+14,01/27/2022 04:09:37 pm,103.800,1.202E-11,6.001,-6.00
546,5.49E+14,01/27/2022 04:09:49 pm,115.100,9.128E-12,4.000,-4.00
577,5.20E+14,01/27/2022 04:10:03 pm,129.600,5.190E-12,2.002,-2.00
,,01/27/2022 04:10:16 pm,142.950,1.387E-12,0.006,-0.01
,,01/27/2022 04:10:27 pm,153.200,1.176E-12,-0.108,0.11
,,01/27/2022 04:10:35 pm,161.000,1.019E-12,-0.202,0.20
,,01/27/2022 04:10:43 pm,169.150,8.705E-13,-0.305,0.30
,,01/27/2022 04:10:47 pm,173.400,7.141E-13,-0.405,0.40
,,01/27/2022 04:10:52 pm,178.400,5.488E-13,-0.502,0.50
,,01/27/2022 04:10:58 pm,184.550,3.873E-13,-0.605,0.60
,,01/27/2022 04:11:04 pm,190.900,2.385E-13,-0.705,0.71
,,01/27/2022 04:11:09 pm,195.850,1.245E-13,-0.806,0.81
