Date and Time Run #2,Time (s) Run #2,Current (A) Run #2,Voltage (V) Run #2,Stopping Potential (V) Run #2
01/27/2022 03:45:02 pm,104.3,2.86E-11,30.005,-30.01
01/27/2022 03:45:51 pm,153.45,2.80E-11,28.013,-28.01
01/27/2022 03:46:10 pm,172.5,2.74E-11,26.009,-26.01
01/27/2022 03:46:25 pm,187.1,2.67E-11,23.999,-24
01/27/2022 03:46:42 pm,204,2.58E-11,21.999,-22
01/27/2022 03:47:03 pm,225.05,2.53E-11,19.999,-20
01/27/2022 03:47:23 pm,245.6,2.46E-11,18.002,-18
01/27/2022 03:47:42 pm,264.5,2.38E-11,16.001,-16
01/27/2022 03:48:03 pm,285,2.29E-11,14.004,-14
01/27/2022 03:48:18 pm,300.2,2.15E-11,12.004,-12
01/27/2022 03:48:31 pm,313.6,1.95E-11,10.013,-10.01
01/27/2022 03:48:50 pm,332.3,1.80E-11,9.006,-9.01
01/27/2022 03:49:04 pm,346.6,1.66E-11,7.987,-7.99
01/27/2022 03:49:24 pm,366.2,1.27E-11,6.005,-6
01/27/2022 03:49:44 pm,386.4,9.52E-12,4,-4
01/27/2022 03:50:01 pm,403.5,5.51E-12,2.007,-2.01
01/27/2022 03:50:35 pm,437.3,1.55E-12,0.029,-0.03
01/27/2022 03:51:04 pm,466.8,1.30E-12,-0.11,0.11
01/27/2022 03:51:13 pm,475.7,1.14E-12,-0.204,0.2
01/27/2022 03:51:24 pm,486.2,1.00E-12,-0.295,0.3
01/27/2022 03:51:31 pm,493.95,8.48E-13,-0.4,0.4
01/27/2022 03:51:38 pm,500.25,7.19E-13,-0.506,0.51
01/27/2022 03:51:43 pm,505.2,5.55E-13,-0.609,0.61
01/27/2022 03:51:48 pm,510.4,4.27E-13,-0.709,0.71
01/27/2022 03:51:54 pm,516.6,3.01E-13,-0.797,0.8
01/27/2022 03:52:00 pm,522.6,1.73E-13,-0.909,0.91
01/27/2022 03:52:11 pm,533.4,9.44E-14,-1.01,1.01
