"Wavelength (nm) Set","Frequency (Hz) Set","Date and Time Run #1","Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","Stopping Potential (V) Run #1"
365,8.21E+14,01/27/2022 03:55:29 pm,13.000,1.149E-10,29.935,-29.94
405,7.40E+14,01/27/2022 03:55:37 pm,21.850,1.125E-10,28.013,-28.01
436,6.88E+14,01/27/2022 03:55:57 pm,41.350,1.109E-10,26.001,-26.00
546,5.49E+14,01/27/2022 03:56:16 pm,60.300,1.088E-10,24.007,-24.01
577,5.20E+14,01/27/2022 03:56:28 pm,72.200,1.058E-10,22.012,-22.01
,,01/27/2022 03:56:46 pm,90.200,1.025E-10,19.996,-20.00
,,01/27/2022 03:57:06 pm,110.950,9.960E-11,18.002,-18.00
,,01/27/2022 03:57:22 pm,126.850,9.787E-11,16.025,-16.03
,,01/27/2022 03:57:32 pm,136.850,9.291E-11,13.989,-13.99
,,01/27/2022 03:57:43 pm,147.850,8.734E-11,11.989,-11.99
,,01/27/2022 03:57:52 pm,156.400,7.829E-11,10.000,-10.00
,,01/27/2022 03:58:03 pm,167.000,6.637E-11,8.009,-8.01
,,01/27/2022 03:58:10 pm,174.950,5.097E-11,6.008,-6.01
,,01/27/2022 03:58:20 pm,184.300,3.840E-11,4.012,-4.01
,,01/27/2022 03:58:29 pm,193.000,2.210E-11,2.008,-2.01
,,01/27/2022 03:58:40 pm,204.100,5.957E-12,0.025,-0.03
,,01/27/2022 03:59:00 pm,224.150,5.027E-12,-0.106,0.11
,,01/27/2022 03:59:05 pm,229.900,4.421E-12,-0.196,0.20
,,01/27/2022 03:59:10 pm,234.350,3.839E-12,-0.300,0.30
,,01/27/2022 03:59:15 pm,239.100,3.237E-12,-0.399,0.40
,,01/27/2022 03:59:19 pm,243.050,2.621E-12,-0.510,0.51
,,01/27/2022 03:59:22 pm,246.500,2.050E-12,-0.604,0.60
,,01/27/2022 03:59:27 pm,251.400,1.485E-12,-0.704,0.70
,,01/27/2022 03:59:33 pm,257.200,9.368E-13,-0.807,0.81
,,01/27/2022 03:59:38 pm,262.950,6.141E-13,-0.904,0.90
,,01/27/2022 03:59:42 pm,266.550,3.127E-13,-1.000,1.00
,,01/27/2022 03:59:46 pm,270.950,1.178E-13,-1.106,1.11
