"Date and Time Run #1","Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","Electron Current (x10^-10 A) Run #1","Peak Voltage (V) Run #1","Diff between Peaks (V) Run #1","Trough Voltage (V) Run #1","Diff between Troughs (V) Run #1","Date and Time Run #2","Time (s) Run #2","Current (A) Run #2","Voltage (V) Run #2","Electron Current (x10^-10 A) Run #2","Peak Voltage (V) Run #2","Diff between Peaks (V) Run #2","Trough Voltage (V) Run #2","Diff between Troughs (V) Run #2","Date and Time Run #3","Time (s) Run #3","Current (A) Run #3","Voltage (V) Run #3","Electron Current (x10^-10 A) Run #3","Peak Voltage (V) Run #3","Diff between Peaks (V) Run #3","Trough Voltage (V) Run #3","Diff between Troughs (V) Run #3"
02/03/2022 03:25:25 pm,66.900,-2.310E-13,2.9,0.00,22.0,11.20,26.4,11.80,02/03/2022 03:59:23 pm,83.800,-2.541E-13,0.1,0.00,23.9,9.70,26.8,11.90,02/03/2022 04:13:19 pm,4.100,-3.345E-13,0.0,0.00,23.2,11.60,26.4,11.90
02/03/2022 03:25:36 pm,77.000,-2.314E-13,4.3,0.00,33.2,11.70,38.2,11.50,02/03/2022 03:59:33 pm,93.100,-2.516E-13,2.2,0.00,33.6,11.50,38.7,12.10,02/03/2022 04:13:27 pm,12.100,-3.075E-13,3.6,0.00,34.8,10.20,38.3,11.40
02/03/2022 03:25:44 pm,85.900,-2.216E-13,6.1,0.00,44.9,11.50,49.7,12.10,02/03/2022 03:59:40 pm,100.000,-2.436E-13,4.4,0.00,45.1,11.20,50.8,11.50,02/03/2022 04:14:00 pm,45.100,-3.075E-13,4.7,0.00,45.0,10.70,49.7,11.20
02/03/2022 03:25:51 pm,92.400,-2.168E-13,8.3,0.00,56.4,11.40,61.8,11.30,02/03/2022 03:59:45 pm,105.900,-2.388E-13,6.2,0.00,56.3,11.90,62.3,11.70,02/03/2022 04:14:04 pm,49.600,-3.032E-13,6.1,0.00,55.7,11.20,60.9,11.80
02/03/2022 03:25:55 pm,96.600,-2.215E-13,10.6,0.00,67.8,,73.1,,02/03/2022 03:59:56 pm,116.300,-2.114E-13,8.2,0.00,68.2,,74.0,,02/03/2022 04:14:08 pm,53.900,-3.130E-13,8.5,0.00,66.9,12.20,72.7,
02/03/2022 03:25:59 pm,100.600,-2.914E-13,12.7,0.00,,,,,02/03/2022 04:00:02 pm,122.800,-2.119E-13,10.4,0.00,,,,,02/03/2022 04:14:13 pm,58.600,-3.143E-13,10.3,0.00,79.1,,,
02/03/2022 03:26:09 pm,110.000,-4.991E-13,14.8,0.00,,,,,02/03/2022 04:00:06 pm,126.600,-2.166E-13,12.3,0.00,,,,,02/03/2022 04:14:19 pm,64.100,-1.380E-12,12.3,0.01,,,,
02/03/2022 03:26:17 pm,118.200,-7.765E-13,17.2,0.01,,,,,02/03/2022 04:00:11 pm,131.400,-3.275E-13,14.2,0.00,,,,,02/03/2022 04:14:22 pm,67.800,-6.236E-12,14.2,0.06,,,,
02/03/2022 03:26:21 pm,122.800,-9.500E-13,18.3,0.01,,,,,02/03/2022 04:00:15 pm,135.600,-7.469E-13,16.2,0.01,,,,,02/03/2022 04:14:26 pm,71.300,-1.326E-11,16.5,0.13,,,,
02/03/2022 03:26:27 pm,128.700,-1.162E-12,20.1,0.01,,,,,02/03/2022 04:00:19 pm,139.700,-1.347E-12,18.3,0.01,,,,,02/03/2022 04:14:29 pm,74.200,-1.895E-11,18.9,0.19,,,,
02/03/2022 03:26:33 pm,134.100,-1.317E-12,22.5,0.01,,,,,02/03/2022 04:00:23 pm,143.100,-1.982E-12,20.6,0.02,,,,,02/03/2022 04:14:32 pm,77.100,-2.199E-11,21.0,0.22,,,,
02/03/2022 03:26:38 pm,139.700,-1.282E-12,24.5,0.01,,,,,02/03/2022 04:00:26 pm,146.300,-2.343E-12,22.4,0.02,,,,,02/03/2022 04:14:34 pm,79.500,-2.260E-11,22.8,0.23,,,,
02/03/2022 03:26:44 pm,145.500,-1.254E-12,26.4,0.01,,,,,02/03/2022 04:00:29 pm,149.500,-2.438E-12,24.4,0.02,,,,,02/03/2022 04:14:36 pm,81.800,-2.098E-11,25.0,0.21,,,,
