"Voltage, Ch B (V) Monitor Run","Filament Voltage, Ch A (V) Monitor Run"
0.009,0.01
0.008,0.01
0.009,0.01
0.009,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.017,0.01
0.047,0.04
0.093,0.09
0.149,0.14
0.201,0.20
0.245,0.24
0.271,0.27
0.285,0.28
0.291,0.29
0.294,0.29
0.301,0.30
0.320,0.32
0.340,0.34
0.356,0.35
0.367,0.36
0.381,0.38
0.408,0.40
0.436,0.43
0.457,0.45
0.468,0.46
0.481,0.48
0.496,0.49
0.512,0.51
0.525,0.52
0.532,0.53
0.538,0.53
0.552,0.55
0.575,0.57
0.600,0.60
0.623,0.62
0.645,0.64
0.666,0.66
0.691,0.69
0.710,0.71
0.719,0.71
0.722,0.72
0.723,0.72
0.723,0.72
0.723,0.72
0.723,0.72
0.723,0.72
0.724,0.72
0.727,0.72
0.737,0.73
0.752,0.75
0.768,0.76
0.786,0.78
0.803,0.80
0.818,0.81
0.834,0.83
0.849,0.84
0.863,0.86
0.881,0.88
0.900,0.89
0.919,0.91
0.936,0.93
0.949,0.94
0.957,0.95
0.964,0.96
0.975,0.97
0.989,0.98
1.001,1.00
1.010,1.00
1.024,1.02
1.041,1.04
1.058,1.05
1.070,1.06
1.076,1.07
1.082,1.08
1.085,1.08
1.090,1.08
1.110,1.10
1.135,1.13
1.158,1.15
1.179,1.17
1.193,1.19
1.200,1.19
1.211,1.21
1.231,1.23
1.258,1.25
1.284,1.28
1.305,1.30
1.314,1.31
1.317,1.31
1.319,1.31
1.326,1.32
1.352,1.35
1.387,1.38
1.415,1.41
1.430,1.42
1.438,1.43
1.447,1.44
1.462,1.46
1.480,1.47
1.499,1.49
1.513,1.51
1.519,1.51
1.522,1.52
1.535,1.53
1.560,1.55
1.589,1.58
1.611,1.60
1.623,1.62
1.628,1.62
1.632,1.63
1.635,1.63
1.641,1.63
1.657,1.65
1.673,1.67
1.684,1.68
1.703,1.70
1.720,1.71
1.728,1.72
1.734,1.73
1.737,1.73
1.738,1.73
1.739,1.73
1.740,1.73
1.754,1.75
1.776,1.77
1.801,1.79
1.824,1.82
1.841,1.83
1.850,1.84
1.856,1.85
1.865,1.86
1.878,1.87
1.899,1.89
1.925,1.92
1.952,1.95
1.971,1.96
1.980,1.97
1.983,1.98
1.984,1.98
1.984,1.98
1.985,1.98
1.988,1.98
2.007,2.00
2.034,2.03
2.058,2.05
2.078,2.07
2.094,2.09
2.108,2.10
2.125,2.12
2.145,2.14
2.160,2.15
2.171,2.16
2.183,2.18
2.195,2.19
2.211,2.20
2.230,2.22
2.250,2.24
2.263,2.26
2.268,2.26
2.269,2.26
2.270,2.26
2.274,2.27
2.293,2.29
2.321,2.31
2.343,2.34
2.359,2.35
2.372,2.37
2.381,2.37
2.387,2.38
2.393,2.39
2.403,2.40
2.416,2.41
2.434,2.43
2.450,2.44
2.465,2.46
2.475,2.47
2.480,2.48
2.481,2.48
2.482,2.48
2.482,2.48
2.483,2.48
2.488,2.49
2.499,2.50
2.513,2.52
2.528,2.54
2.543,2.56
2.555,2.58
2.564,2.60
2.569,2.61
2.573,2.62
2.578,2.63
2.585,2.64
2.592,2.66
2.598,2.68
2.605,2.70
2.612,2.72
2.617,2.74
2.620,2.75
2.621,2.75
2.622,2.75
2.622,2.75
2.626,2.77
2.634,2.80
2.642,2.83
2.646,2.84
2.648,2.85
2.651,2.87
2.654,2.88
2.656,2.89
2.658,2.90
2.661,2.91
2.663,2.92
2.666,2.93
2.671,2.96
2.676,2.98
2.678,2.99
2.679,3.00
2.682,3.01
2.684,3.02
2.685,3.03
2.686,3.03
2.686,3.03
2.686,3.03
2.687,3.04
2.688,3.04
2.688,3.04
2.689,3.05
2.694,3.07
2.699,3.10
2.702,3.11
2.703,3.12
2.703,3.12
2.703,3.12
2.704,3.13
2.706,3.14
2.709,3.16
2.712,3.18
2.714,3.18
2.714,3.19
2.715,3.19
2.718,3.21
2.722,3.23
2.726,3.26
2.729,3.28
2.732,3.30
2.734,3.31
2.735,3.32
2.736,3.32
2.738,3.34
2.742,3.36
2.747,3.40
2.751,3.42
2.753,3.44
2.754,3.45
2.754,3.45
2.754,3.45
2.755,3.45
2.756,3.46
2.762,3.50
2.768,3.54
2.772,3.57
2.775,3.60
2.777,3.62
2.780,3.64
2.782,3.66
2.784,3.67
2.786,3.68
2.787,3.69
2.788,3.70
2.789,3.71
2.789,3.71
2.789,3.71
2.789,3.71
2.790,3.71
2.793,3.74
2.796,3.77
2.800,3.80
2.803,3.82
2.805,3.84
2.807,3.86
2.808,3.87
2.810,3.89
2.813,3.91
2.816,3.94
2.818,3.95
2.818,3.96
2.819,3.96
2.820,3.97
2.822,3.99
2.824,4.01
2.826,4.03
2.829,4.06
2.832,4.08
2.833,4.09
2.835,4.11
2.836,4.12
2.837,4.13
2.837,4.13
2.837,4.13
2.837,4.13
2.837,4.13
2.837,4.13
2.837,4.13
2.837,4.13
2.838,4.14
2.839,4.15
2.841,4.17
