"Voltage, Ch B (V) Monitor Run","Filament Voltage, Ch A (V) Monitor Run"
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.007,0.00
0.010,0.01
0.015,0.01
0.023,0.02
0.036,0.03
0.051,0.05
0.066,0.06
0.083,0.08
0.097,0.09
0.106,0.10
0.111,0.11
0.114,0.11
0.119,0.12
0.124,0.12
0.129,0.13
0.133,0.13
0.145,0.14
0.162,0.16
0.177,0.17
0.188,0.18
0.195,0.19
0.200,0.20
0.210,0.21
0.230,0.23
0.247,0.24
0.259,0.26
0.267,0.26
0.275,0.27
0.281,0.28
0.284,0.28
0.285,0.28
0.287,0.28
0.300,0.30
0.336,0.33
0.375,0.37
0.394,0.39
0.402,0.40
0.405,0.40
0.406,0.40
0.407,0.40
0.407,0.40
0.413,0.41
0.436,0.43
0.458,0.45
0.470,0.47
0.481,0.48
0.493,0.49
0.505,0.50
0.515,0.51
0.525,0.52
0.540,0.53
0.555,0.55
0.566,0.56
0.573,0.57
0.577,0.57
0.587,0.58
0.599,0.59
0.605,0.60
0.607,0.60
0.607,0.60
0.608,0.60
0.617,0.61
0.631,0.63
0.646,0.64
0.661,0.66
0.676,0.67
0.687,0.68
0.694,0.69
0.698,0.69
0.702,0.70
0.707,0.70
0.712,0.71
0.717,0.71
0.738,0.73
0.764,0.76
0.778,0.77
0.783,0.78
0.785,0.78
0.786,0.78
0.787,0.78
0.789,0.78
0.794,0.79
0.806,0.80
0.822,0.82
0.838,0.83
0.849,0.84
0.856,0.85
0.859,0.85
0.861,0.86
0.861,0.86
0.870,0.86
0.883,0.88
0.897,0.89
0.907,0.90
0.913,0.91
0.915,0.91
0.917,0.91
0.930,0.92
0.948,0.94
0.967,0.96
0.983,0.98
0.994,0.99
0.999,0.99
1.002,1.00
1.004,1.00
1.010,1.00
1.026,1.02
1.042,1.04
1.052,1.05
1.057,1.05
1.060,1.05
1.065,1.06
1.074,1.07
1.087,1.08
1.098,1.09
1.106,1.10
1.111,1.11
1.116,1.11
1.128,1.12
1.144,1.14
1.158,1.15
1.167,1.16
1.171,1.17
1.173,1.17
1.174,1.17
1.179,1.17
1.190,1.18
1.201,1.20
1.209,1.20
1.213,1.21
1.216,1.21
1.220,1.21
1.232,1.23
1.246,1.24
1.254,1.25
1.258,1.25
1.259,1.25
1.266,1.26
1.283,1.28
1.302,1.30
1.313,1.31
1.322,1.32
1.328,1.32
1.332,1.33
1.338,1.33
1.356,1.35
1.375,1.37
1.387,1.38
1.391,1.38
1.395,1.39
1.410,1.40
1.429,1.42
1.441,1.43
1.449,1.44
1.454,1.45
1.455,1.45
1.456,1.45
1.464,1.46
1.484,1.48
1.506,1.50
1.524,1.52
1.538,1.53
1.552,1.55
1.563,1.56
1.574,1.57
1.585,1.58
1.596,1.59
1.607,1.60
1.616,1.61
1.623,1.62
1.627,1.62
1.630,1.62
1.632,1.63
1.638,1.63
1.655,1.65
1.675,1.67
1.687,1.68
1.692,1.68
1.697,1.69
1.708,1.70
1.723,1.72
1.735,1.73
1.742,1.73
1.746,1.74
1.749,1.74
1.752,1.75
1.756,1.75
1.761,1.75
1.768,1.76
1.782,1.77
1.793,1.79
1.798,1.79
1.801,1.79
1.811,1.80
1.821,1.81
1.830,1.82
1.837,1.83
1.844,1.84
1.850,1.84
1.854,1.85
1.857,1.85
1.859,1.85
1.862,1.86
1.875,1.87
1.897,1.89
1.911,1.90
1.917,1.91
1.920,1.91
1.926,1.92
1.934,1.93
1.941,1.93
1.952,1.95
1.966,1.96
1.977,1.97
1.983,1.98
1.986,1.98
1.988,1.98
1.992,1.99
2.014,2.01
2.039,2.03
2.055,2.05
2.066,2.06
2.073,2.07
2.081,2.08
2.089,2.08
2.096,2.09
2.105,2.10
2.115,2.11
2.124,2.12
2.132,2.13
2.137,2.14
2.139,2.14
2.141,2.14
2.141,2.14
2.143,2.14
2.158,2.16
2.180,2.18
2.193,2.20
2.200,2.21
2.210,2.22
2.223,2.24
2.232,2.25
2.238,2.26
2.242,2.27
2.248,2.28
2.256,2.29
2.262,2.30
2.266,2.30
2.268,2.31
2.269,2.31
2.270,2.31
2.271,2.31
2.273,2.31
2.283,2.33
2.297,2.35
2.306,2.37
2.310,2.38
2.311,2.38
2.315,2.39
2.323,2.40
2.331,2.42
2.335,2.42
2.338,2.43
2.342,2.44
2.345,2.44
2.348,2.45
2.351,2.46
2.353,2.46
2.353,2.46
2.354,2.46
2.355,2.46
2.356,2.47
2.358,2.47
2.368,2.49
2.379,2.51
2.387,2.53
2.391,2.54
2.393,2.54
2.395,2.55
2.400,2.56
2.403,2.57
2.406,2.57
2.409,2.58
2.413,2.59
2.415,2.59
2.417,2.60
2.419,2.60
2.421,2.61
2.423,2.61
2.424,2.62
2.425,2.62
2.427,2.62
2.428,2.62
2.429,2.63
2.433,2.64
2.441,2.66
2.446,2.67
2.448,2.67
2.450,2.68
2.450,2.68
2.451,2.68
2.454,2.69
2.462,2.71
2.468,2.72
2.472,2.74
2.475,2.74
2.476,2.75
2.477,2.75
2.479,2.75
2.480,2.76
2.480,2.76
2.485,2.77
2.493,2.79
2.500,2.81
2.503,2.82
2.505,2.82
2.505,2.83
2.507,2.83
2.511,2.84
2.517,2.86
2.522,2.87
2.524,2.88
2.526,2.88
2.527,2.89
2.527,2.89
2.528,2.89
2.536,2.91
2.550,2.95
2.561,2.99
2.569,3.01
2.573,3.03
2.576,3.04
2.579,3.04
2.581,3.05
2.581,3.05
2.582,3.05
2.582,3.05
2.582,3.05
2.582,3.05
2.582,3.05
2.586,3.07
2.592,3.09
2.598,3.11
2.603,3.12
2.607,3.14
2.610,3.15
2.613,3.16
2.616,3.17
2.618,3.17
2.620,3.18
2.623,3.19
2.625,3.20
2.626,3.20
2.628,3.21
2.632,3.22
2.638,3.24
2.645,3.27
2.652,3.29
2.657,3.31
2.661,3.33
2.665,3.34
2.667,3.35
2.668,3.35
2.668,3.35
2.668,3.35
2.668,3.36
2.668,3.36
2.668,3.35
2.669,3.36
2.673,3.37
2.680,3.40
2.685,3.42
2.690,3.44
2.695,3.46
2.700,3.48
2.705,3.50
2.710,3.52
2.716,3.54
2.720,3.56
2.726,3.58
2.730,3.60
2.733,3.61
2.737,3.63
2.743,3.66
2.749,3.69
2.755,3.71
2.762,3.74
2.766,3.76
2.768,3.77
2.769,3.78
2.770,3.78
2.775,3.80
2.777,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.778,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
2.777,3.82
