"Voltage, Ch B (V) Monitor Run","Filament Voltage, Ch A (V) Monitor Run"
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.007,0.00
0.024,0.02
0.061,0.06
0.109,0.10
0.155,0.15
0.191,0.19
0.215,0.21
0.229,0.23
0.243,0.24
0.265,0.26
0.290,0.29
0.317,0.31
0.343,0.34
0.375,0.37
0.407,0.40
0.432,0.43
0.451,0.45
0.474,0.47
0.500,0.50
0.514,0.51
0.521,0.52
0.524,0.52
0.524,0.52
0.525,0.52
0.525,0.52
0.525,0.52
0.533,0.53
0.551,0.55
0.572,0.57
0.589,0.58
0.602,0.60
0.618,0.61
0.635,0.63
0.648,0.64
0.658,0.65
0.669,0.66
0.681,0.68
0.696,0.69
0.705,0.70
0.712,0.71
0.722,0.72
0.731,0.73
0.741,0.74
0.750,0.74
0.756,0.75
0.761,0.76
0.766,0.76
0.771,0.77
0.776,0.77
0.783,0.78
0.791,0.79
0.804,0.80
0.817,0.81
0.827,0.82
0.832,0.83
0.834,0.83
0.835,0.83
0.835,0.83
0.835,0.83
0.836,0.83
0.836,0.83
0.839,0.83
0.853,0.85
0.872,0.87
0.891,0.89
0.913,0.91
0.936,0.93
0.950,0.94
0.956,0.95
0.958,0.95
0.959,0.95
0.959,0.95
0.960,0.95
0.960,0.95
0.960,0.95
0.963,0.96
0.972,0.97
0.989,0.98
1.005,1.00
1.019,1.01
1.036,1.03
1.054,1.05
1.069,1.06
1.080,1.07
1.091,1.08
1.104,1.10
1.122,1.12
1.145,1.14
1.174,1.17
1.196,1.19
1.209,1.20
1.217,1.21
1.227,1.22
1.239,1.23
1.249,1.24
1.255,1.25
1.260,1.25
1.276,1.27
1.305,1.30
1.326,1.32
1.335,1.33
1.338,1.33
1.338,1.33
1.337,1.33
1.337,1.33
1.337,1.33
1.338,1.33
1.348,1.34
1.370,1.36
1.389,1.38
1.407,1.40
1.425,1.42
1.446,1.44
1.469,1.46
1.492,1.49
1.514,1.51
1.538,1.53
1.569,1.56
1.590,1.58
1.600,1.59
1.604,1.60
1.606,1.60
1.606,1.60
1.607,1.60
1.618,1.61
1.653,1.65
1.695,1.69
1.734,1.74
1.763,1.78
1.773,1.80
1.777,1.81
1.779,1.81
1.779,1.82
1.780,1.82
1.784,1.83
1.793,1.85
1.802,1.87
1.811,1.90
1.821,1.93
1.830,1.97
1.834,1.99
1.836,2.00
1.836,2.00
1.837,2.00
1.837,2.00
1.837,2.00
1.837,2.00
1.838,2.01
1.840,2.02
1.844,2.04
1.849,2.06
1.852,2.08
1.854,2.09
1.856,2.10
1.857,2.11
1.860,2.13
1.863,2.15
1.866,2.17
1.870,2.20
1.875,2.24
1.879,2.26
1.880,2.28
1.881,2.29
1.881,2.29
1.882,2.29
1.882,2.29
1.883,2.30
1.886,2.33
1.889,2.36
1.892,2.38
1.894,2.41
1.897,2.43
1.899,2.45
1.900,2.46
1.902,2.48
1.904,2.51
1.907,2.54
1.910,2.58
1.913,2.61
1.914,2.63
1.915,2.63
1.915,2.63
1.915,2.63
1.915,2.63
1.915,2.64
1.917,2.66
1.921,2.70
1.923,2.73
1.925,2.76
1.927,2.79
1.930,2.82
1.931,2.84
1.932,2.85
1.932,2.86
1.933,2.87
1.934,2.88
1.934,2.89
1.935,2.91
1.937,2.92
1.938,2.94
1.938,2.95
1.939,2.96
1.939,2.96
1.939,2.96
1.939,2.96
1.939,2.96
1.939,2.97
1.940,2.98
1.942,3.00
1.943,3.02
1.944,3.04
1.945,3.06
1.946,3.08
1.947,3.09
1.948,3.10
1.949,3.11
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.12
1.949,3.13
1.949,3.13
1.949,3.13
1.949,3.13
1.949,3.14
1.950,3.14
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
1.950,3.15
