"Voltage, Ch B (V) Monitor Run","Filament Voltage, Ch A (V) Monitor Run"
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.026,0.02
0.027,0.02
0.045,0.04
0.095,0.09
0.147,0.14
0.174,0.17
0.184,0.18
0.188,0.18
0.189,0.19
0.190,0.19
0.193,0.19
0.205,0.20
0.225,0.22
0.245,0.24
0.258,0.25
0.265,0.26
0.284,0.28
0.310,0.31
0.333,0.33
0.356,0.35
0.381,0.38
0.402,0.40
0.418,0.41
0.429,0.43
0.439,0.44
0.452,0.45
0.471,0.47
0.488,0.48
0.501,0.50
0.509,0.50
0.519,0.51
0.530,0.53
0.537,0.53
0.541,0.54
0.542,0.54
0.542,0.54
0.542,0.54
0.539,0.54
0.540,0.54
0.553,0.55
0.574,0.57
0.595,0.59
0.610,0.60
0.623,0.62
0.635,0.63
0.646,0.64
0.660,0.65
0.674,0.67
0.689,0.68
0.708,0.70
0.729,0.72
0.748,0.74
0.760,0.75
0.770,0.76
0.783,0.78
0.799,0.79
0.816,0.81
0.832,0.83
0.850,0.84
0.870,0.86
0.892,0.89
0.914,0.91
0.933,0.93
0.942,0.94
0.946,0.94
0.947,0.94
0.948,0.94
0.948,0.94
0.948,0.94
0.948,0.94
0.952,0.95
0.957,0.95
0.964,0.96
0.973,0.97
0.986,0.98
1.001,1.00
1.014,1.01
1.030,1.02
1.048,1.04
1.062,1.06
1.074,1.07
1.088,1.08
1.104,1.10
1.116,1.11
1.122,1.12
1.131,1.12
1.142,1.14
1.154,1.15
1.163,1.16
1.170,1.16
1.176,1.17
1.184,1.18
1.192,1.19
1.202,1.20
1.214,1.21
1.225,1.22
1.234,1.23
1.242,1.24
1.251,1.25
