"Voltage, Ch B (V) Monitor Run","Filament Voltage, Ch A (V) Monitor Run"
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.009,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.008,0.01
0.011,0.01
0.040,0.04
0.103,0.10
0.138,0.13
0.164,0.16
0.197,0.19
0.223,0.22
0.239,0.24
0.246,0.24
0.249,0.25
0.250,0.25
0.249,0.25
0.258,0.25
0.308,0.30
0.399,0.39
0.451,0.45
0.477,0.47
0.513,0.51
0.567,0.56
0.611,0.61
0.631,0.62
0.637,0.63
0.640,0.63
0.640,0.63
0.644,0.64
0.667,0.66
0.725,0.72
0.821,0.81
0.899,0.89
0.931,0.93
0.958,0.95
1.014,1.01
1.079,1.07
1.110,1.10
1.120,1.11
1.122,1.12
1.123,1.12
1.123,1.12
1.124,1.12
1.140,1.13
1.175,1.17
1.219,1.21
1.259,1.25
1.294,1.29
1.327,1.32
1.363,1.36
1.398,1.39
1.428,1.42
1.449,1.44
1.472,1.47
1.488,1.48
1.494,1.49
1.497,1.49
1.498,1.49
1.519,1.51
1.575,1.57
1.647,1.66
1.682,1.71
1.698,1.73
1.717,1.76
1.742,1.82
1.761,1.87
1.771,1.89
1.773,1.90
1.773,1.90
1.773,1.90
1.773,1.90
1.773,1.90
1.778,1.91
1.790,1.95
1.804,2.00
1.818,2.06
1.828,2.10
1.835,2.13
1.840,2.16
1.846,2.19
1.850,2.21
1.855,2.23
1.859,2.25
1.859,2.26
1.860,2.26
1.860,2.26
1.860,2.26
1.862,2.27
1.867,2.30
1.876,2.35
1.887,2.42
1.895,2.46
1.899,2.49
1.904,2.52
1.911,2.57
1.919,2.62
1.922,2.64
1.923,2.65
1.923,2.65
1.923,2.65
1.923,2.65
1.923,2.65
1.925,2.67
1.931,2.71
1.941,2.78
1.950,2.85
1.955,2.89
1.959,2.92
1.964,2.96
1.970,3.01
1.974,3.04
1.976,3.06
1.976,3.06
1.977,3.07
1.977,3.07
1.977,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.976,3.07
1.975,3.07
1.976,3.07
1.976,3.07
1.975,3.07
1.976,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
1.975,3.07
