"Voltage, Ch B (V) Monitor Run","Filament Voltage, Ch A (V) Monitor Run"
0.007,0.01
0.007,0.01
0.007,0.01
0.007,0.01
0.007,0.01
0.007,0.01
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.01
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.007,0.00
0.008,0.01
0.030,0.03
0.077,0.07
0.122,0.12
0.162,0.16
0.197,0.19
0.230,0.23
0.285,0.28
0.325,0.32
0.349,0.35
0.361,0.36
0.365,0.36
0.367,0.36
0.368,0.36
0.368,0.36
0.366,0.36
0.368,0.37
0.380,0.38
0.410,0.41
0.455,0.45
0.511,0.51
0.564,0.56
0.588,0.58
0.598,0.59
0.604,0.60
0.613,0.61
0.626,0.62
0.642,0.64
0.659,0.65
0.678,0.67
0.696,0.69
0.711,0.71
0.728,0.72
0.752,0.75
0.781,0.78
0.798,0.79
0.805,0.80
0.807,0.80
0.808,0.80
0.808,0.80
0.808,0.80
0.809,0.80
0.813,0.81
0.830,0.82
0.853,0.85
0.876,0.87
0.902,0.90
0.931,0.93
0.960,0.95
0.986,0.98
1.012,1.01
1.041,1.04
1.062,1.06
1.072,1.07
1.081,1.08
1.098,1.09
1.122,1.12
1.144,1.14
1.161,1.15
1.173,1.17
1.185,1.18
1.194,1.19
1.198,1.19
1.200,1.20
1.206,1.20
1.217,1.21
1.228,1.22
1.237,1.23
1.243,1.24
1.246,1.24
1.248,1.24
1.249,1.24
1.249,1.24
1.249,1.24
1.249,1.24
1.249,1.24
1.246,1.24
1.255,1.25
1.272,1.27
1.288,1.28
1.310,1.30
1.338,1.33
1.368,1.36
1.387,1.38
1.395,1.39
1.405,1.40
1.423,1.42
1.448,1.44
1.468,1.46
1.484,1.48
1.498,1.49
1.510,1.50
1.527,1.52
1.546,1.54
1.562,1.56
1.578,1.57
1.590,1.58
1.600,1.59
1.605,1.60
1.607,1.60
1.608,1.60
1.608,1.60
1.608,1.60
1.611,1.60
1.628,1.62
1.657,1.65
1.683,1.68
1.704,1.70
1.723,1.72
1.742,1.74
1.763,1.76
1.783,1.78
1.802,1.79
1.817,1.81
1.827,1.82
1.832,1.82
1.836,1.83
1.845,1.84
1.856,1.85
1.867,1.86
1.881,1.87
1.903,1.90
1.930,1.92
1.957,1.95
1.977,1.97
1.994,1.99
2.008,2.00
2.018,2.01
2.030,2.02
2.040,2.03
2.047,2.04
2.053,2.05
2.060,2.05
2.067,2.06
2.072,2.07
2.075,2.07
2.082,2.07
2.092,2.09
2.102,2.10
2.116,2.11
2.132,2.13
2.145,2.14
2.153,2.15
2.159,2.15
2.165,2.16
2.172,2.17
2.178,2.17
2.186,2.18
2.205,2.20
2.230,2.22
2.247,2.24
2.256,2.25
2.264,2.26
2.274,2.27
2.286,2.28
2.300,2.29
2.311,2.30
2.322,2.32
2.334,2.33
2.347,2.34
2.360,2.35
2.373,2.37
2.385,2.38
2.392,2.38
2.396,2.39
2.404,2.40
2.422,2.41
2.447,2.44
2.462,2.46
2.469,2.46
2.471,2.46
2.478,2.47
2.492,2.48
2.503,2.50
2.509,2.50
2.518,2.51
2.529,2.52
2.537,2.53
2.542,2.54
2.547,2.54
2.559,2.55
2.574,2.57
2.595,2.59
2.619,2.61
2.637,2.63
2.647,2.64
2.651,2.64
2.655,2.65
2.661,2.65
2.679,2.67
2.702,2.69
2.725,2.72
2.742,2.73
2.750,2.74
2.756,2.75
2.762,2.75
2.769,2.76
2.786,2.78
2.817,2.81
2.843,2.84
2.863,2.86
2.876,2.88
2.882,2.88
2.890,2.89
2.901,2.91
2.914,2.93
2.928,2.95
2.941,2.98
2.950,2.99
2.956,3.01
2.960,3.02
2.966,3.03
2.972,3.05
2.978,3.06
2.982,3.07
2.983,3.08
2.984,3.08
2.984,3.08
2.984,3.08
2.984,3.08
2.984,3.08
2.990,3.10
3.000,3.13
3.008,3.16
3.014,3.19
3.019,3.21
3.024,3.23
3.029,3.25
3.033,3.27
3.036,3.28
3.039,3.30
3.042,3.31
3.046,3.33
3.051,3.36
3.054,3.37
3.056,3.38
3.056,3.39
3.057,3.39
3.058,3.40
3.060,3.41
3.062,3.42
3.064,3.43
3.067,3.44
3.070,3.46
3.074,3.48
3.077,3.50
3.080,3.52
3.083,3.54
3.086,3.56
3.088,3.57
3.091,3.59
3.095,3.61
3.099,3.64
3.103,3.66
3.104,3.67
3.105,3.68
3.105,3.68
3.107,3.70
3.111,3.72
3.116,3.75
3.119,3.78
3.121,3.79
3.124,3.81
3.126,3.83
3.128,3.84
3.130,3.86
3.133,3.88
3.135,3.89
3.136,3.91
3.139,3.92
3.143,3.95
3.145,3.97
3.147,3.98
3.147,3.98
3.147,3.99
3.148,3.99
3.150,4.01
3.153,4.03
3.156,4.05
3.158,4.08
3.160,4.09
3.161,4.10
3.163,4.11
3.164,4.12
3.165,4.14
3.168,4.16
3.171,4.19
3.175,4.22
3.177,4.23
3.178,4.25
3.180,4.26
3.184,4.29
3.189,4.33
3.194,4.37
3.197,4.40
3.199,4.42
3.199,4.43
3.200,4.43
3.200,4.44
3.201,4.44
3.202,4.45
