"Voltage, Ch B (V) Monitor Run","Filament Voltage, Ch A (V) Monitor Run"
0.011,0.01
0.011,0.01
0.011,0.01
0.011,0.01
0.011,0.01
0.011,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.012,0.01
0.024,0.02
0.052,0.05
0.091,0.09
0.135,0.13
0.200,0.19
0.263,0.26
0.293,0.29
0.304,0.30
0.308,0.30
0.309,0.31
0.310,0.31
0.309,0.31
0.309,0.31
0.324,0.32
0.354,0.35
0.389,0.38
0.424,0.42
0.458,0.45
0.489,0.48
0.518,0.51
0.540,0.54
0.556,0.55
0.575,0.57
0.601,0.60
0.632,0.63
0.665,0.66
0.701,0.70
0.736,0.73
0.762,0.76
0.776,0.77
0.781,0.78
0.784,0.78
0.785,0.78
0.786,0.78
0.792,0.79
0.821,0.81
0.860,0.85
0.890,0.88
0.916,0.91
0.941,0.94
0.969,0.96
1.004,1.00
1.036,1.03
1.055,1.05
1.065,1.06
1.080,1.07
1.098,1.09
1.123,1.12
1.157,1.15
1.196,1.19
1.226,1.22
1.245,1.24
1.254,1.25
1.264,1.26
1.279,1.27
1.293,1.29
1.309,1.30
1.322,1.32
1.333,1.33
1.339,1.33
1.342,1.34
1.342,1.34
1.343,1.34
1.343,1.34
1.343,1.34
1.343,1.34
1.351,1.34
1.382,1.38
1.426,1.42
1.460,1.45
1.485,1.48
1.507,1.50
1.533,1.53
1.560,1.55
1.577,1.57
1.589,1.58
1.613,1.61
1.649,1.64
1.682,1.67
1.704,1.70
1.720,1.71
1.734,1.73
1.747,1.74
1.759,1.75
1.779,1.77
1.812,1.80
1.835,1.83
1.844,1.84
1.847,1.84
1.849,1.84
1.849,1.84
1.849,1.84
1.850,1.84
1.850,1.84
1.860,1.85
1.880,1.87
1.909,1.90
1.943,1.94
1.979,1.97
2.009,2.00
2.036,2.03
2.063,2.06
2.094,2.09
2.125,2.12
2.145,2.14
2.155,2.15
2.169,2.16
2.195,2.19
2.232,2.22
2.268,2.26
2.297,2.29
2.321,2.31
2.345,2.34
2.373,2.37
2.390,2.38
2.397,2.39
2.399,2.39
2.400,2.39
2.401,2.39
2.401,2.39
2.401,2.39
2.405,2.40
2.421,2.41
2.444,2.44
2.468,2.46
2.489,2.49
2.507,2.51
2.523,2.53
2.535,2.55
2.542,2.56
2.547,2.57
2.551,2.58
2.555,2.59
2.558,2.59
2.562,2.60
2.568,2.62
2.573,2.63
2.579,2.65
2.585,2.66
2.591,2.68
2.597,2.71
2.603,2.73
2.607,2.74
2.610,2.76
2.616,2.78
2.623,2.82
2.627,2.84
2.628,2.85
2.629,2.85
2.629,2.85
2.629,2.85
2.629,2.85
2.630,2.85
2.633,2.87
2.637,2.89
2.641,2.92
2.644,2.94
2.647,2.95
2.650,2.97
2.654,2.99
2.657,3.01
2.658,3.02
2.660,3.03
2.662,3.05
2.664,3.06
2.667,3.08
2.669,3.10
2.671,3.11
2.674,3.13
2.676,3.14
2.678,3.16
2.680,3.18
2.683,3.20
2.685,3.21
2.686,3.22
2.687,3.23
2.688,3.24
2.690,3.25
2.693,3.27
2.696,3.30
2.699,3.32
2.701,3.34
2.703,3.36
2.704,3.37
2.706,3.38
2.707,3.39
2.708,3.40
2.708,3.40
2.708,3.40
2.708,3.40
2.708,3.40
2.708,3.40
2.709,3.41
2.712,3.43
2.716,3.47
2.719,3.50
2.722,3.52
2.724,3.54
2.726,3.56
2.728,3.57
2.730,3.59
2.732,3.61
2.733,3.63
2.735,3.64
2.736,3.65
2.737,3.66
2.739,3.68
2.740,3.69
2.742,3.71
2.745,3.74
2.749,3.78
2.753,3.82
2.755,3.84
2.756,3.85
2.756,3.85
2.756,3.85
2.756,3.85
2.756,3.85
2.756,3.85
2.757,3.86
2.759,3.87
2.761,3.90
2.764,3.93
2.766,3.95
2.769,3.98
2.771,4.00
2.773,4.02
2.775,4.04
2.777,4.06
2.780,4.09
2.781,4.11
2.783,4.12
2.785,4.15
2.788,4.18
2.791,4.21
2.795,4.25
2.798,4.28
2.801,4.32
2.803,4.34
2.804,4.35
2.805,4.36
2.805,4.36
2.805,4.36
2.805,4.36
2.805,4.36
2.805,4.36
2.805,4.36
2.805,4.36
2.805,4.37
2.806,4.38
2.810,4.42
2.813,4.45
2.814,4.46
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.814,4.47
2.813,4.47
2.814,4.47
2.813,4.47
2.814,4.47
2.813,4.47
2.813,4.47
2.813,4.47
