"Voltage, Ch B (V) Monitor Run","Filament Voltage, Ch A (V) Monitor Run"
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.005,0.00
0.006,0.00
0.023,0.02
0.049,0.05
0.067,0.06
0.093,0.09
0.136,0.13
0.171,0.17
0.186,0.18
0.221,0.22
0.290,0.29
0.335,0.33
0.352,0.35
0.359,0.36
0.361,0.36
0.367,0.36
0.404,0.40
0.476,0.47
0.549,0.54
0.584,0.58
0.597,0.59
0.602,0.60
0.604,0.60
0.605,0.60
0.606,0.60
0.610,0.60
0.615,0.61
0.624,0.62
0.636,0.63
0.647,0.64
0.656,0.65
0.668,0.66
0.684,0.68
0.703,0.70
0.721,0.72
0.745,0.74
0.772,0.77
0.796,0.79
0.817,0.81
0.833,0.83
0.843,0.84
0.849,0.84
0.855,0.85
0.860,0.86
0.866,0.86
0.877,0.87
0.891,0.89
0.907,0.90
0.924,0.92
0.938,0.93
0.951,0.95
0.963,0.96
0.977,0.97
0.991,0.99
1.000,0.99
1.003,1.00
1.006,1.00
1.007,1.00
1.008,1.00
1.008,1.00
1.015,1.01
1.040,1.03
1.072,1.07
1.093,1.09
1.105,1.10
1.113,1.11
1.118,1.11
1.123,1.12
1.132,1.13
1.149,1.14
1.166,1.16
1.179,1.17
1.191,1.19
1.201,1.20
1.206,1.20
1.208,1.20
1.209,1.20
1.216,1.21
1.238,1.23
1.269,1.26
1.290,1.28
1.301,1.30
1.305,1.30
1.309,1.30
1.313,1.31
1.322,1.32
1.337,1.33
1.354,1.35
1.369,1.36
1.381,1.37
1.389,1.38
1.397,1.39
1.407,1.40
1.413,1.41
1.416,1.41
1.417,1.41
1.419,1.41
1.431,1.42
1.456,1.45
1.477,1.47
1.486,1.48
1.490,1.48
1.495,1.49
1.498,1.49
1.501,1.49
1.510,1.50
1.529,1.52
1.543,1.54
1.554,1.55
1.565,1.56
1.572,1.57
1.575,1.57
1.578,1.57
1.585,1.58
1.593,1.59
1.597,1.59
1.599,1.59
1.601,1.60
1.609,1.60
1.627,1.62
1.648,1.64
1.664,1.66
1.671,1.67
1.675,1.67
1.677,1.67
1.680,1.68
1.688,1.69
1.700,1.70
1.717,1.72
1.729,1.73
1.736,1.74
1.743,1.75
1.754,1.76
1.764,1.78
1.768,1.79
1.770,1.79
1.771,1.79
1.771,1.79
1.772,1.79
1.775,1.79
1.788,1.82
1.800,1.84
1.806,1.85
1.810,1.86
1.813,1.87
1.814,1.87
1.815,1.87
1.816,1.87
1.820,1.88
1.828,1.90
1.836,1.92
1.841,1.94
1.844,1.95
1.847,1.96
1.849,1.97
1.850,1.97
1.852,1.97
1.856,1.99
1.864,2.01
1.869,2.04
1.873,2.05
1.875,2.06
1.877,2.07
1.879,2.08
1.880,2.08
1.883,2.09
1.885,2.11
1.888,2.12
1.890,2.13
1.894,2.15
1.899,2.17
1.901,2.18
1.902,2.19
1.903,2.19
1.905,2.20
1.909,2.23
1.913,2.25
1.916,2.26
1.917,2.28
1.919,2.28
1.920,2.29
1.924,2.31
1.927,2.34
1.932,2.36
1.935,2.39
1.937,2.40
1.938,2.40
1.938,2.41
1.941,2.43
1.947,2.47
1.951,2.49
1.953,2.51
1.954,2.52
1.954,2.52
1.956,2.53
1.958,2.55
1.961,2.57
1.963,2.59
1.966,2.61
1.968,2.63
1.969,2.63
1.969,2.63
1.969,2.63
1.970,2.64
1.973,2.67
1.975,2.69
1.977,2.69
1.977,2.70
1.977,2.70
1.977,2.70
1.977,2.70
1.978,2.71
1.983,2.75
1.989,2.80
1.995,2.85
1.999,2.89
2.002,2.91
2.004,2.93
2.006,2.95
2.009,2.97
2.010,2.98
2.011,2.99
2.011,2.99
2.011,2.99
2.011,2.99
2.011,2.99
2.011,2.99
2.011,2.99
2.011,2.99
2.011,2.99
2.011,2.99
2.011,2.99
2.011,2.99
2.010,2.99
2.011,2.99
2.011,2.99
2.011,2.99
2.011,2.99
2.011,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
2.010,2.99
