"Voltage, Ch B (V) Monitor Run","Filament Voltage, Ch A (V) Monitor Run"
0.011,0.01
0.011,0.01
0.011,0.01
0.011,0.01
0.011,0.01
0.010,0.01
0.011,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.010,0.01
0.032,0.03
0.134,0.13
0.202,0.20
0.229,0.23
0.239,0.24
0.243,0.24
0.252,0.25
0.327,0.32
0.414,0.41
0.450,0.45
0.463,0.46
0.468,0.46
0.473,0.47
0.499,0.49
0.555,0.55
0.621,0.61
0.669,0.66
0.689,0.68
0.697,0.69
0.699,0.69
0.701,0.70
0.706,0.70
0.729,0.72
0.770,0.76
0.820,0.81
0.870,0.86
0.904,0.90
0.919,0.91
0.924,0.92
0.927,0.92
0.927,0.92
0.942,0.94
0.987,0.98
1.061,1.05
1.142,1.13
1.187,1.18
1.204,1.20
1.211,1.21
1.214,1.21
1.215,1.21
1.220,1.21
1.245,1.24
1.281,1.28
1.316,1.31
1.344,1.34
1.376,1.37
1.411,1.40
1.435,1.43
1.444,1.44
1.448,1.44
1.449,1.44
1.451,1.44
1.465,1.46
1.504,1.50
1.545,1.54
1.581,1.57
1.611,1.60
1.633,1.63
1.644,1.64
1.648,1.64
1.650,1.65
1.651,1.65
1.652,1.65
1.661,1.66
1.676,1.67
1.695,1.69
1.710,1.71
1.722,1.73
1.735,1.74
1.748,1.76
1.759,1.78
1.769,1.79
1.778,1.81
1.788,1.82
1.800,1.85
1.809,1.87
1.814,1.88
1.817,1.89
1.820,1.90
1.822,1.90
1.823,1.91
1.826,1.92
1.833,1.94
1.840,1.96
1.845,1.98
1.849,2.00
1.851,2.00
1.852,2.01
1.852,2.01
1.852,2.01
1.853,2.01
1.857,2.03
1.861,2.05
1.866,2.07
1.870,2.10
1.874,2.12
1.877,2.14
1.880,2.16
1.882,2.17
1.885,2.19
1.888,2.22
1.892,2.25
1.894,2.26
1.895,2.27
1.896,2.28
1.897,2.29
1.898,2.30
1.899,2.30
1.899,2.31
1.899,2.31
1.899,2.31
1.899,2.31
1.899,2.31
1.900,2.32
1.902,2.34
1.905,2.37
1.907,2.39
1.910,2.42
1.912,2.45
1.915,2.48
1.917,2.51
1.918,2.52
1.918,2.52
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.917,2.53
1.918,2.53
1.918,2.53
1.918,2.53
1.917,2.53
1.918,2.53
