"Time (s) Run #1","Geiger Counts (counts/sample) Run #1","Time (s) Run #2","Geiger Counts (counts/sample) Run #2","Time (s) Run #3","Geiger Counts (counts/sample) Run #3"
2.000,0,0.200,0,0.100,0
4.000,0,0.400,0,0.200,0
6.000,0,0.600,0,0.300,0
8.000,0,0.800,0,0.400,0
10.000,0,1.000,0,0.500,0
12.000,0,1.200,0,0.600,0
14.000,0,1.400,0,0.700,0
16.000,0,1.600,0,0.800,0
18.000,0,1.800,0,0.900,0
20.000,1,2.000,0,1.000,0
22.000,2,2.200,0,1.100,0
24.000,0,2.400,0,1.200,0
26.000,1,2.600,0,1.300,0
28.000,0,2.800,0,1.400,0
30.000,1,3.000,0,1.500,0
32.000,0,3.200,0,1.600,0
34.000,0,3.400,0,1.700,0
36.000,1,3.600,0,1.800,0
38.000,0,3.800,0,1.900,0
40.000,2,4.000,1,2.000,0
42.000,0,4.200,0,2.100,0
44.000,1,4.400,0,2.200,0
46.000,0,4.600,0,2.300,0
48.000,0,4.800,0,2.400,0
50.000,0,5.000,0,2.500,0
52.000,0,5.200,0,2.600,0
54.000,0,5.400,0,2.700,0
56.000,0,5.600,0,2.800,0
58.000,0,5.800,0,2.900,0
60.000,1,6.000,0,3.000,0
62.000,0,6.200,1,3.100,0
64.000,1,6.400,0,3.200,0
66.000,0,6.600,0,3.300,0
68.000,1,6.800,1,3.400,0
70.000,0,7.000,0,3.500,0
72.000,0,7.200,0,3.600,0
74.000,1,7.400,0,3.700,0
76.000,0,7.600,0,3.800,0
78.000,0,7.800,0,3.900,0
80.000,1,8.000,0,4.000,0
82.000,2,8.200,0,4.100,0
84.000,1,8.400,0,4.200,0
86.000,1,8.600,0,4.300,0
88.000,2,8.800,0,4.400,0
90.000,0,9.000,0,4.500,0
92.000,1,9.200,0,4.600,0
94.000,0,9.400,0,4.700,0
96.000,0,9.600,0,4.800,0
98.000,0,9.800,0,4.900,0
100.000,0,10.000,0,5.000,0
102.000,0,10.200,0,5.100,0
104.000,1,10.400,0,5.200,0
106.000,0,10.600,0,5.300,0
108.000,0,10.800,0,5.400,0
110.000,0,11.000,0,5.500,1
112.000,1,11.200,0,5.600,0
114.000,0,11.400,0,5.700,0
116.000,0,11.600,0,5.800,0
118.000,0,11.800,0,5.900,0
120.000,0,12.000,0,6.000,0
122.000,0,12.200,0,6.100,0
124.000,1,12.400,0,6.200,0
126.000,0,12.600,0,6.300,0
128.000,1,12.800,0,6.400,0
130.000,0,13.000,0,6.500,0
132.000,0,13.200,0,6.600,0
134.000,1,13.400,0,6.700,0
136.000,0,13.600,0,6.800,0
138.000,1,13.800,0,6.900,0
140.000,0,14.000,0,7.000,0
142.000,0,14.200,1,7.100,0
144.000,0,14.400,0,7.200,0
146.000,0,14.600,0,7.300,0
148.000,0,14.800,0,7.400,0
150.000,1,15.000,0,7.500,0
152.000,1,15.200,0,7.600,0
154.000,0,15.400,0,7.700,0
156.000,0,15.600,0,7.800,0
158.000,1,15.800,0,7.900,0
160.000,1,16.000,0,8.000,0
162.000,0,16.200,0,8.100,0
164.000,0,16.400,0,8.200,0
166.000,0,16.600,0,8.300,0
168.000,0,16.800,0,8.400,0
170.000,1,17.000,0,8.500,0
172.000,0,17.200,1,8.600,0
174.000,1,17.400,0,8.700,0
176.000,1,17.600,0,8.800,0
178.000,0,17.800,0,8.900,0
180.000,0,18.000,0,9.000,0
182.000,0,18.200,0,9.100,0
184.000,1,18.400,0,9.200,0
186.000,1,18.600,0,9.300,0
188.000,1,18.800,0,9.400,1
190.000,0,19.000,0,9.500,0
192.000,0,19.200,0,9.600,0
194.000,0,19.400,0,9.700,0
196.000,0,19.600,0,9.800,0
198.000,1,19.800,0,9.900,0
200.000,1,20.000,0,10.000,0
202.000,0,20.200,0,10.100,0
204.000,0,20.400,1,10.200,0
206.000,0,20.600,0,10.300,0
208.000,0,20.800,0,10.400,0
210.000,0,21.000,0,10.500,0
212.000,0,21.200,0,10.600,0
214.000,1,21.400,0,10.700,0
216.000,1,21.600,0,10.800,0
218.000,0,21.800,0,10.900,0
220.000,0,22.000,0,11.000,0
222.000,3,22.200,0,11.100,0
224.000,0,22.400,0,11.200,0
226.000,1,22.600,0,11.300,0
228.000,1,22.800,0,11.400,0
230.000,0,23.000,0,11.500,0
232.000,0,23.200,0,11.600,0
234.000,1,23.400,0,11.700,0
236.000,0,23.600,0,11.800,0
238.000,0,23.800,0,11.900,0
240.000,0,24.000,0,12.000,0
242.000,0,24.200,0,12.100,0
244.000,1,24.400,0,12.200,1
246.000,1,24.600,0,12.300,0
248.000,0,24.800,0,12.400,0
250.000,0,25.000,0,12.500,0
252.000,1,25.200,0,12.600,0
254.000,0,25.400,0,12.700,0
256.000,2,25.600,0,12.800,0
258.000,0,25.800,0,12.900,0
260.000,0,26.000,0,13.000,0
262.000,0,26.200,0,13.100,0
264.000,0,26.400,0,13.200,0
266.000,1,26.600,0,13.300,0
268.000,0,26.800,0,13.400,0
270.000,0,27.000,0,13.500,0
272.000,1,27.200,0,13.600,0
274.000,1,27.400,0,13.700,0
276.000,0,27.600,0,13.800,0
278.000,1,27.800,0,13.900,0
280.000,0,28.000,0,14.000,0
282.000,0,28.200,0,14.100,0
284.000,0,28.400,0,14.200,0
286.000,0,28.600,0,14.300,0
288.000,0,28.800,0,14.400,0
290.000,1,29.000,0,14.500,0
292.000,1,29.200,0,14.600,0
294.000,1,29.400,0,14.700,0
296.000,0,29.600,0,14.800,0
298.000,1,29.800,0,14.900,0
300.000,0,30.000,0,15.000,0
,,30.200,0,15.100,0
,,30.400,0,15.200,0
,,30.600,0,15.300,0
,,30.800,0,15.400,0
,,31.000,0,15.500,1
,,31.200,0,15.600,0
,,31.400,0,15.700,0
,,31.600,0,15.800,0
,,31.800,0,15.900,0
,,32.000,0,16.000,0
,,32.200,0,16.100,0
,,32.400,0,16.200,0
,,32.600,0,16.300,0
,,32.800,0,16.400,0
,,33.000,0,16.500,0
,,33.200,0,16.600,0
,,33.400,0,16.700,0
,,33.600,0,16.800,0
,,33.800,0,16.900,0
,,34.000,0,17.000,0
,,34.200,0,17.100,0
,,34.400,0,17.200,0
,,34.600,0,17.300,0
,,34.800,0,17.400,0
,,35.000,0,17.500,0
,,35.200,0,17.600,0
,,35.400,0,17.700,0
,,35.600,0,17.800,0
,,35.800,0,17.900,0
,,36.000,0,18.000,0
,,36.200,0,18.100,0
,,36.400,0,18.200,0
,,36.600,0,18.300,0
,,36.800,0,18.400,0
,,37.000,0,18.500,0
,,37.200,0,18.600,0
,,37.400,0,18.700,0
,,37.600,0,18.800,0
,,37.800,0,18.900,0
,,38.000,0,19.000,0
,,38.200,0,19.100,0
,,38.400,0,19.200,0
,,38.600,0,19.300,0
,,38.800,0,19.400,0
,,39.000,0,19.500,0
,,39.200,0,19.600,0
,,39.400,0,19.700,0
,,39.600,0,19.800,0
,,39.800,0,19.900,0
,,40.000,0,20.000,0
,,40.200,0,20.100,0
,,40.400,0,20.200,0
,,40.600,0,20.300,0
,,40.800,0,20.400,0
,,41.000,0,20.500,0
,,41.200,0,20.600,0
,,41.400,0,20.700,0
,,41.600,0,20.800,0
,,41.800,0,20.900,0
,,42.000,1,21.000,0
,,42.200,0,21.100,0
,,42.400,0,21.200,0
,,42.600,0,21.300,0
,,42.800,0,21.400,0
,,43.000,0,21.500,0
,,43.200,0,21.600,0
,,43.400,1,21.700,0
,,43.600,0,21.800,0
,,43.800,0,21.900,0
,,44.000,0,22.000,0
,,44.200,1,22.100,0
,,44.400,0,22.200,0
,,44.600,0,22.300,0
,,44.800,0,22.400,0
,,45.000,0,22.500,1
,,45.200,0,22.600,0
,,45.400,1,22.700,1
,,45.600,0,22.800,0
,,45.800,0,22.900,0
,,46.000,0,23.000,0
,,46.200,0,23.100,0
,,46.400,0,23.200,0
,,46.600,0,23.300,0
,,46.800,0,23.400,0
,,47.000,0,23.500,0
,,47.200,0,23.600,0
,,47.400,0,23.700,0
,,47.600,0,23.800,0
,,47.800,0,23.900,0
,,48.000,0,24.000,0
,,48.200,0,24.100,0
,,48.400,0,24.200,0
,,48.600,0,24.300,0
,,48.800,0,24.400,0
,,49.000,0,24.500,0
,,49.200,0,24.600,0
,,49.400,0,24.700,0
