"Time (s) Run #1","Geiger Counts (counts/sample) Run #1","Time (s) Run #2","Geiger Counts (counts/sample) Run #2","Time (s) Run #3","Geiger Counts (counts/sample) Run #3"
2.000,34,2.000,31,2.000,32
4.000,31,4.000,27,4.000,32
6.000,36,6.000,21,6.000,33
8.000,28,8.000,31,8.000,23
10.000,37,10.000,35,10.000,38
12.000,31,12.000,33,12.000,26
14.000,33,14.000,30,14.000,36
16.000,34,16.000,26,16.000,41
18.000,40,18.000,29,18.000,34
20.000,32,20.000,36,20.000,29
22.000,27,22.000,30,22.000,30
24.000,36,24.000,26,24.000,26
26.000,26,26.000,51,26.000,29
28.000,35,28.000,33,28.000,30
30.000,36,30.000,32,30.000,31
32.000,27,32.000,27,32.000,31
34.000,26,34.000,28,34.000,41
36.000,43,36.000,34,36.000,35
38.000,33,38.000,26,38.000,33
40.000,29,40.000,20,40.000,22
42.000,26,42.000,43,42.000,25
44.000,27,44.000,42,44.000,34
46.000,36,46.000,41,46.000,30
48.000,27,48.000,29,48.000,36
50.000,30,50.000,28,50.000,35
52.000,38,52.000,36,52.000,21
54.000,34,54.000,43,54.000,36
56.000,27,56.000,32,56.000,22
58.000,37,58.000,32,58.000,33
60.000,39,60.000,31,60.000,27
62.000,28,62.000,35,62.000,25
64.000,30,64.000,23,64.000,32
66.000,32,66.000,32,66.000,39
68.000,29,68.000,32,68.000,37
70.000,26,70.000,31,70.000,25
72.000,28,72.000,27,72.000,30
74.000,32,74.000,32,74.000,35
76.000,35,76.000,23,76.000,27
78.000,36,78.000,31,78.000,26
80.000,37,80.000,35,80.000,22
82.000,28,82.000,29,82.000,29
84.000,36,84.000,31,84.000,29
86.000,24,86.000,37,86.000,34
88.000,38,88.000,40,88.000,35
90.000,35,90.000,29,90.000,28
92.000,28,92.000,30,92.000,32
94.000,31,94.000,30,94.000,36
96.000,26,96.000,28,96.000,26
98.000,38,98.000,37,98.000,25
100.000,30,100.000,35,100.000,27
102.000,25,102.000,29,102.000,22
104.000,54,104.000,31,104.000,28
106.000,38,106.000,35,106.000,33
108.000,45,108.000,34,108.000,32
110.000,34,110.000,27,110.000,33
112.000,30,112.000,27,112.000,38
114.000,27,114.000,30,114.000,26
116.000,22,116.000,32,116.000,34
118.000,27,118.000,33,118.000,39
120.000,32,120.000,38,120.000,23
122.000,30,122.000,35,122.000,28
124.000,33,124.000,40,124.000,23
126.000,32,126.000,43,126.000,30
128.000,40,128.000,36,128.000,38
130.000,32,130.000,38,130.000,29
132.000,30,132.000,34,132.000,35
134.000,32,134.000,29,134.000,30
136.000,35,136.000,26,136.000,26
138.000,31,138.000,27,138.000,37
140.000,23,140.000,32,140.000,25
142.000,27,142.000,19,142.000,37
144.000,30,144.000,35,144.000,34
146.000,30,146.000,24,146.000,24
148.000,26,148.000,31,148.000,39
150.000,20,150.000,30,150.000,32
152.000,30,152.000,33,152.000,33
154.000,38,154.000,32,154.000,38
156.000,37,156.000,36,156.000,36
158.000,30,158.000,32,158.000,35
160.000,32,160.000,39,160.000,30
162.000,32,162.000,26,162.000,38
164.000,34,164.000,35,164.000,25
166.000,27,166.000,35,166.000,34
168.000,42,168.000,30,168.000,25
170.000,36,170.000,35,170.000,31
172.000,24,172.000,25,172.000,30
174.000,26,174.000,30,174.000,37
176.000,33,176.000,30,176.000,37
178.000,29,178.000,24,178.000,32
180.000,31,180.000,29,180.000,32
182.000,24,182.000,36,182.000,34
184.000,26,184.000,27,184.000,31
186.000,34,186.000,42,186.000,38
188.000,32,188.000,25,188.000,25
190.000,35,190.000,40,190.000,27
192.000,34,192.000,34,192.000,47
194.000,29,194.000,26,194.000,27
196.000,35,196.000,32,196.000,33
198.000,28,198.000,31,198.000,36
200.000,36,200.000,24,200.000,26
202.000,37,202.000,30,202.000,33
204.000,29,204.000,32,204.000,21
206.000,24,206.000,32,206.000,27
208.000,28,208.000,39,208.000,29
210.000,27,210.000,49,210.000,27
212.000,26,212.000,34,212.000,25
214.000,43,214.000,27,214.000,29
216.000,23,216.000,42,216.000,39
218.000,38,218.000,39,218.000,32
220.000,37,220.000,30,220.000,39
222.000,37,222.000,29,222.000,32
224.000,35,224.000,29,224.000,22
226.000,31,226.000,32,226.000,31
228.000,38,228.000,40,228.000,31
230.000,26,230.000,30,230.000,37
232.000,37,232.000,26,232.000,37
234.000,40,234.000,38,234.000,34
236.000,26,236.000,28,236.000,33
238.000,31,238.000,40,238.000,23
240.000,25,240.000,40,240.000,40
242.000,36,242.000,25,242.000,26
244.000,29,244.000,38,244.000,34
246.000,31,246.000,36,246.000,33
248.000,33,248.000,49,248.000,34
250.000,31,250.000,34,250.000,24
252.000,26,252.000,34,252.000,26
254.000,26,254.000,38,254.000,38
256.000,26,256.000,23,256.000,26
258.000,29,258.000,33,258.000,37
260.000,24,260.000,25,260.000,23
262.000,31,262.000,35,262.000,26
264.000,39,264.000,25,264.000,22
266.000,33,266.000,31,266.000,20
268.000,29,268.000,30,268.000,29
270.000,33,270.000,38,270.000,39
272.000,31,272.000,42,272.000,32
274.000,36,274.000,44,274.000,22
276.000,39,276.000,26,276.000,29
278.000,31,278.000,39,278.000,32
280.000,22,280.000,27,280.000,24
282.000,31,282.000,35,282.000,38
284.000,28,284.000,31,284.000,42
286.000,35,286.000,32,286.000,34
288.000,28,288.000,33,288.000,31
290.000,25,290.000,21,290.000,34
292.000,22,292.000,26,292.000,30
294.000,32,294.000,41,294.000,27
296.000,35,296.000,32,296.000,32
298.000,33,298.000,32,298.000,39
300.000,37,300.000,36,300.000,32
