"Time (s) Run #1","Geiger Counts (counts/sample) Run #1","Time (s) Run #2","Geiger Counts (counts/sample) Run #2","Time (s) Run #3","Geiger Counts (counts/sample) Run #3","Time (s) Run #4","Geiger Counts (counts/sample) Run #4","Time (s) Run #5","Geiger Counts (counts/sample) Run #5","Time (s) Run #6","Geiger Counts (counts/sample) Run #6","Time (s) Run #7","Geiger Counts (counts/sample) Run #7","Time (s) Run #8","Geiger Counts (counts/sample) Run #8","Time (s) Run #9","Geiger Counts (counts/sample) Run #9","Time (s) Run #10","Geiger Counts (counts/sample) Run #10","Time (s) Run #11","Geiger Counts (counts/sample) Run #11","Time (s) Run #12","Geiger Counts (counts/sample) Run #12","Time (s) Run #13","Geiger Counts (counts/sample) Run #13","Time (s) Run #14","Geiger Counts (counts/sample) Run #14","Time (s) Run #15","Geiger Counts (counts/sample) Run #15","Time (s) Run #16","Geiger Counts (counts/sample) Run #16","Time (s) Run #17","Geiger Counts (counts/sample) Run #17","Time (s) Run #18","Geiger Counts (counts/sample) Run #18","Time (s) Run #19","Geiger Counts (counts/sample) Run #19","Time (s) Run #20","Geiger Counts (counts/sample) Run #20"
0.100,0,0.100,0,0.100,1,0.100,0,0.100,0,0.100,1,0.100,1,0.100,1,0.100,1,0.100,2,0.100,2,0.100,1,0.100,0,0.100,0,0.100,0,0.100,2,0.100,0,0.100,2,0.100,2,0.100,2
0.200,1,0.200,1,0.200,1,0.200,0,0.200,1,0.200,1,0.200,0,0.200,5,0.200,2,0.200,1,0.200,2,0.200,2,0.200,2,0.200,3,0.200,0,0.200,2,0.200,2,0.200,1,0.200,2,0.200,1
0.300,0,0.300,4,0.300,2,0.300,2,0.300,3,0.300,1,0.300,3,0.300,1,0.300,2,0.300,0,0.300,1,0.300,1,0.300,1,0.300,1,0.300,1,0.300,2,0.300,1,0.300,0,0.300,2,0.300,2
0.400,1,0.400,2,0.400,2,0.400,0,0.400,0,0.400,4,0.400,0,0.400,2,0.400,0,0.400,0,0.400,2,0.400,5,0.400,2,0.400,6,0.400,2,0.400,1,0.400,5,0.400,2,0.400,2,0.400,0
0.500,2,0.500,1,0.500,2,0.500,2,0.500,2,0.500,2,0.500,3,0.500,1,0.500,1,0.500,3,0.500,3,0.500,3,0.500,2,0.500,0,0.500,1,0.500,0,0.500,1,0.500,1,0.500,5,0.500,4
0.600,1,0.600,3,0.600,0,0.600,3,0.600,0,0.600,3,0.600,0,0.600,2,0.600,1,0.600,2,0.600,0,0.600,3,0.600,4,0.600,2,0.600,1,0.600,0,0.600,2,0.600,4,0.600,3,0.600,0
0.700,1,0.700,1,0.700,2,0.700,2,0.700,0,0.700,3,0.700,2,0.700,2,0.700,3,0.700,4,0.700,2,0.700,0,0.700,2,0.700,1,0.700,1,0.700,1,0.700,2,0.700,1,0.700,4,0.700,4
0.800,1,0.800,1,0.800,2,0.800,3,0.800,3,0.800,0,0.800,1,0.800,3,0.800,4,0.800,0,0.800,2,0.800,1,0.800,1,0.800,2,0.800,2,0.800,0,0.800,3,0.800,5,0.800,3,0.800,1
0.900,4,0.900,0,0.900,0,0.900,1,0.900,2,0.900,7,0.900,2,0.900,0,0.900,2,0.900,1,0.900,1,0.900,1,0.900,2,0.900,1,0.900,3,0.900,0,0.900,1,0.900,2,0.900,1,0.900,1
1.000,4,1.000,1,1.000,4,1.000,2,1.000,1,1.000,4,1.000,1,1.000,4,1.000,5,1.000,1,1.000,2,1.000,0,1.000,3,1.000,1,1.000,3,1.000,1,1.000,0,1.000,4,1.000,1,1.000,5
