"Time (s) Run #1","Geiger Counts (counts/sample) Run #1","Time (s) Run #2","Geiger Counts (counts/sample) Run #2","Time (s) Run #3","Geiger Counts (counts/sample) Run #3","Time (s) Run #4","Geiger Counts (counts/sample) Run #4","Time (s) Run #5","Geiger Counts (counts/sample) Run #5"
2.000,9,2.000,4,2.000,4,2.000,9,2.000,6
4.000,4,4.000,10,4.000,2,4.000,6,4.000,11
6.000,9,6.000,6,6.000,8,6.000,7,6.000,7
8.000,5,8.000,7,8.000,7,8.000,4,8.000,5
10.000,9,10.000,4,10.000,7,10.000,9,10.000,5
12.000,4,12.000,11,12.000,2,12.000,8,12.000,9
14.000,8,14.000,5,14.000,9,14.000,5,14.000,6
16.000,4,16.000,7,16.000,7,16.000,6,16.000,3
18.000,9,18.000,8,18.000,5,18.000,2,18.000,2
20.000,3,20.000,6,20.000,6,20.000,3,20.000,6
22.000,10,22.000,4,22.000,10,22.000,8,22.000,5
24.000,7,24.000,3,24.000,13,24.000,8,24.000,8
26.000,6,26.000,6,26.000,7,26.000,9,26.000,3
28.000,7,28.000,4,28.000,2,28.000,6,28.000,7
30.000,10,30.000,6,30.000,7,30.000,7,30.000,6
32.000,5,32.000,2,32.000,7,32.000,3,32.000,10
34.000,6,34.000,6,34.000,2,34.000,2,34.000,6
36.000,3,36.000,7,36.000,9,36.000,7,36.000,10
38.000,4,38.000,9,38.000,7,38.000,8,38.000,4
40.000,3,40.000,4,40.000,10,40.000,6,40.000,10
42.000,2,42.000,6,42.000,2,42.000,7,42.000,1
44.000,7,44.000,6,44.000,8,44.000,6,44.000,6
46.000,5,46.000,9,46.000,12,46.000,12,46.000,3
48.000,5,48.000,2,48.000,7,48.000,7,48.000,9
50.000,6,50.000,5,50.000,8,50.000,4,50.000,4
52.000,2,52.000,6,52.000,7,52.000,5,52.000,9
54.000,8,54.000,10,54.000,6,54.000,5,54.000,8
56.000,7,56.000,6,56.000,4,56.000,5,56.000,5
58.000,7,58.000,6,58.000,8,58.000,6,58.000,7
60.000,11,60.000,8,60.000,9,60.000,10,60.000,4
62.000,4,62.000,1,62.000,8,62.000,5,62.000,3
64.000,2,64.000,7,64.000,5,64.000,4,64.000,10
66.000,4,66.000,4,66.000,6,66.000,5,66.000,3
68.000,5,68.000,2,68.000,7,68.000,6,68.000,5
70.000,2,70.000,8,70.000,11,70.000,7,70.000,3
72.000,10,72.000,13,72.000,9,72.000,7,72.000,3
74.000,6,74.000,5,74.000,6,74.000,1,74.000,9
76.000,9,76.000,5,76.000,10,76.000,5,76.000,9
78.000,5,78.000,6,78.000,6,78.000,6,78.000,5
80.000,11,80.000,6,80.000,6,80.000,12,80.000,3
82.000,7,82.000,5,82.000,8,82.000,4,82.000,8
84.000,3,84.000,8,84.000,5,84.000,6,84.000,6
86.000,8,86.000,6,86.000,9,86.000,9,86.000,7
88.000,6,88.000,12,88.000,4,88.000,7,88.000,7
90.000,6,90.000,5,90.000,1,90.000,4,90.000,7
92.000,2,92.000,6,92.000,11,92.000,7,92.000,6
94.000,7,94.000,4,94.000,3,94.000,5,94.000,4
96.000,6,96.000,6,96.000,7,96.000,2,96.000,3
98.000,6,98.000,3,98.000,3,98.000,7,98.000,2
100.000,7,100.000,5,100.000,9,100.000,5,100.000,4
102.000,9,102.000,2,102.000,9,102.000,6,102.000,4
104.000,9,104.000,8,104.000,6,104.000,9,104.000,3
106.000,5,106.000,5,106.000,5,106.000,8,106.000,3
108.000,5,108.000,8,108.000,7,108.000,10,108.000,4
110.000,6,110.000,6,110.000,2,110.000,7,110.000,2
112.000,7,112.000,5,112.000,4,112.000,8,112.000,3
114.000,6,114.000,8,114.000,3,114.000,1,114.000,9
116.000,5,116.000,5,116.000,12,116.000,11,116.000,10
118.000,5,118.000,6,118.000,5,118.000,5,118.000,5
120.000,10,120.000,4,120.000,7,120.000,7,120.000,8
122.000,8,122.000,7,122.000,9,122.000,7,122.000,6
124.000,4,124.000,5,124.000,8,124.000,6,124.000,9
126.000,5,126.000,9,126.000,2,126.000,5,126.000,5
128.000,2,128.000,7,128.000,5,128.000,8,128.000,10
130.000,5,130.000,4,130.000,7,130.000,4,130.000,8
132.000,3,132.000,10,132.000,2,132.000,4,132.000,4
134.000,9,134.000,6,134.000,4,134.000,5,134.000,8
136.000,6,136.000,10,136.000,3,136.000,7,136.000,6
138.000,2,138.000,6,138.000,1,138.000,8,138.000,6
140.000,9,140.000,9,140.000,8,140.000,2,140.000,4
142.000,4,142.000,3,142.000,4,142.000,6,142.000,2
144.000,9,144.000,11,144.000,10,144.000,5,144.000,6
146.000,11,146.000,13,146.000,8,146.000,3,146.000,6
148.000,8,148.000,4,148.000,6,148.000,5,148.000,3
150.000,4,150.000,1,150.000,5,150.000,3,150.000,7
152.000,4,152.000,11,152.000,8,152.000,3,152.000,5
154.000,10,154.000,4,154.000,6,154.000,5,154.000,3
156.000,8,156.000,9,156.000,6,156.000,9,156.000,2
158.000,4,158.000,8,158.000,6,158.000,5,158.000,4
160.000,10,160.000,3,160.000,8,160.000,0,160.000,6
162.000,5,162.000,3,162.000,7,162.000,4,162.000,8
164.000,5,164.000,7,164.000,4,164.000,5,164.000,7
166.000,9,166.000,5,166.000,8,166.000,4,166.000,8
168.000,11,168.000,8,168.000,4,168.000,9,168.000,6
170.000,8,170.000,6,170.000,3,170.000,6,170.000,6
172.000,3,172.000,4,172.000,3,172.000,8,172.000,3
174.000,7,174.000,5,174.000,10,174.000,8,174.000,4
176.000,6,176.000,6,176.000,4,176.000,9,176.000,6
178.000,4,178.000,4,178.000,6,178.000,5,178.000,5
180.000,2,180.000,5,180.000,6,180.000,6,180.000,6
182.000,5,182.000,7,182.000,7,182.000,7,182.000,7
184.000,9,184.000,11,184.000,4,184.000,7,184.000,3
186.000,5,186.000,7,186.000,9,186.000,3,186.000,4
188.000,7,188.000,6,188.000,3,188.000,2,188.000,7
190.000,7,190.000,9,190.000,6,190.000,10,190.000,3
192.000,3,192.000,8,192.000,3,192.000,3,192.000,2
194.000,3,194.000,6,194.000,3,194.000,5,194.000,5
196.000,4,196.000,9,196.000,10,196.000,4,196.000,4
198.000,2,198.000,9,198.000,4,198.000,8,198.000,7
200.000,3,200.000,4,200.000,7,200.000,7,200.000,2
202.000,7,202.000,6,202.000,12,202.000,9,202.000,9
204.000,5,204.000,6,204.000,5,204.000,6,204.000,4
206.000,7,206.000,3,206.000,3,206.000,6,206.000,5
208.000,6,208.000,5,208.000,8,208.000,4,208.000,5
210.000,10,210.000,6,210.000,6,210.000,9,210.000,3
212.000,4,212.000,7,212.000,4,212.000,2,212.000,2
214.000,8,214.000,2,214.000,7,214.000,4,214.000,4
216.000,9,216.000,3,216.000,6,216.000,2,216.000,8
218.000,7,218.000,4,218.000,6,218.000,5,218.000,6
220.000,11,220.000,9,220.000,13,220.000,3,220.000,8
222.000,3,222.000,7,222.000,4,222.000,3,222.000,2
224.000,7,224.000,4,224.000,5,224.000,2,224.000,3
226.000,1,226.000,6,226.000,4,226.000,8,226.000,2
228.000,5,228.000,4,228.000,7,228.000,6,228.000,5
230.000,6,230.000,7,230.000,5,230.000,9,230.000,4
232.000,7,232.000,6,232.000,6,232.000,6,232.000,10
234.000,6,234.000,6,234.000,6,234.000,4,234.000,4
236.000,11,236.000,5,236.000,8,236.000,7,236.000,8
238.000,10,238.000,9,238.000,10,238.000,8,238.000,3
240.000,2,240.000,5,240.000,8,240.000,5,240.000,10
242.000,9,242.000,5,242.000,8,242.000,8,242.000,5
244.000,5,244.000,7,244.000,2,244.000,5,244.000,10
246.000,4,246.000,5,246.000,7,246.000,7,246.000,3
248.000,7,248.000,9,248.000,6,248.000,8,248.000,5
250.000,9,250.000,7,250.000,4,250.000,4,250.000,7
252.000,3,252.000,5,252.000,3,252.000,6,252.000,9
254.000,9,254.000,8,254.000,8,254.000,6,254.000,4
256.000,11,256.000,6,256.000,4,256.000,7,256.000,5
258.000,6,258.000,7,258.000,10,258.000,10,258.000,4
260.000,9,260.000,6,260.000,6,260.000,6,260.000,4
262.000,8,262.000,3,262.000,6,262.000,5,262.000,4
264.000,4,264.000,7,264.000,9,264.000,4,264.000,11
266.000,8,266.000,10,266.000,6,266.000,7,266.000,3
268.000,8,268.000,5,268.000,9,268.000,9,268.000,3
270.000,8,270.000,8,270.000,8,270.000,10,270.000,5
272.000,7,272.000,7,272.000,6,272.000,6,272.000,3
274.000,7,274.000,7,274.000,3,274.000,2,274.000,3
276.000,4,276.000,2,276.000,5,276.000,6,276.000,11
278.000,6,278.000,6,278.000,7,278.000,8,278.000,8
280.000,3,280.000,7,280.000,5,280.000,4,280.000,5
282.000,9,282.000,7,282.000,6,282.000,5,282.000,4
284.000,8,284.000,3,284.000,5,284.000,4,284.000,5
286.000,4,286.000,6,286.000,2,286.000,10,286.000,8
288.000,2,288.000,8,288.000,4,288.000,6,288.000,9
290.000,8,290.000,6,290.000,7,290.000,4,290.000,5
292.000,4,292.000,9,292.000,5,292.000,7,292.000,8
294.000,8,294.000,6,294.000,11,294.000,6,294.000,13
296.000,2,296.000,11,296.000,2,296.000,3,296.000,4
298.000,10,298.000,4,298.000,9,298.000,7,298.000,6
300.000,9,300.000,7,300.000,4,300.000,9,300.000,5
