Pressure (Torr),    Voltage (V) #Distance = 0.048cm
0.362,              0.71,       0.54
0.389,              0.71,       0.58
0.400,              0.70,       0.69
0.418,              0.69,       0.64
0.445,              0.68,       0.70
0.490,              0.67,       0.80
0.547,              0.65,       0.85
0.612,              0.65,       0.95
0.720,              0.56,       1.10
0.811,              0.62,       1.20
0.918,              0.59,       1.50
1.040,              0.61,       1.60
9.95,               0.43,       21.0
9.90,               0.44,       
16.0,               0.47,       
19.0,               0.48,       28.0
28.5,               0.51,       35.0
35.5,               0.55,
39.5,               0.58,       44.0
49.5,               0.65,       66.0
70.0,               0.66,       
79.0,               0.67,     
87.0,               0.69,       
100.,               0.75,       
130.,               0.81,
160.,               0.95,
190.,               1.04,
220.,               1.23,       
