Pressure (Torr),    Voltage (V) #Distance = 0.048cm
230.,               1.10,       
205.,               0.86,
150.,               0.81,
105.,               0.73,
88.5,               0.68,
76.0,               0.63,
70.0,               0.61,
48.5,               0.56,
36.5,               0.48,
28.0,               0.47,
24.5,               0.45,
19.0,               0.45,
16.5,               0.46,
14.0,               0.44,
10.0,               0.42,
0.444,              0.85,
0.424,              0.86,
0.389,              0.88,
0.311,              0.92,
0.267,              0.98,
0.258,              1.02,
